id,label,size
/offertaformativa/laureemagistrali20172018/,Lauree magistrali A.A. 2017/2018,142239
/all2-archi-ingediarch17/#posti,,1
/corsiprogrloc17/#art2,,1
/all2-archi-ingediarch17/#prova,,1
/corsiprogrloc17/#art5,,1
/corsiprogrloc17/#art6,,1
/corsiprogrloc17/#art3,,1
/all10-hydroraphy17/#posti,,1
/all10-hydroraphy17/#prova,,1
/corsilmprof17/#art1,,1
/corsilmprof17/#art3,,1
/corsilmprof17/#art4,,1
/corsilmprof17/#art9,,1
/corsilmprof17/#art7,,1
/corsilmprof17/#art5,,1
/corsilmprof17/#allegatoA,,1
/offertaformativa/lauree20172018/,Lauree (3 anni) e Lauree magistrali a ciclo unico (5-6 anni) - a.a. 2017/2018,211617
/all4-biotec17/#posti,,1
/all4-biotec17/#prova,,1
/all6-farmactf17/#posti,,1
/all6-farmactf17/#prova,,1
/all1-designprodnau17/#posti,,1
/all1-designprodnau17/#prova,,1
/sanitarie17/#art1,,1
/sanitarie17/#art3,,1
/sanitarie17/#art4,,1
/sanitarie17/#art10,,1
/sanitarie17/#art12,,1
/sanitarie17/#art7,,1
/sanitarie17/#art5,,1
/sanitarie17/#allegatoa,,1
/medionto17/#posti,,1
/medionto17/#domanda,,1
/medionto17/#prova,,1
/medionto17/#graduatorie,,1
/medionto17/#modalita,,1
/medionto17/graduatorie,,1
/all3-scienzebio17/#posti,,1
/all3-scienzebio17/#prova,,1
/all3-scienzebio17/#programma,,1
/scienzearch17/#posti,,1
/scienzearch17/#domanda,,1
/scienzearch17/#prova,,1
/scienzearch17/#graduatorie,,1
/scienzearch17/#modalita,,1
/sdf_2017/#art1,,1
/sdf_2017/#art3,,1
/sdf_2017/#art4,,1
/sdf_2017/#art9,,1
/sdf_2017/#art10,,1
/sdf_2017/#art7,,1
/sdf_2017/#art5,,1
/sdf_2017/#allegatoa,,1
/all8-psicologiche17/#posti,,1
/all8-psicologiche17/#prova,,1
/all8-psicologiche17/#programma,,1
/all5-scienzemotorie17/#posti,,1
/all5-scienzemotorie17/#prova,,1
/all7-pedagogiche17/#posti,,1
/all7-pedagogiche17/#prova,,1
/all7-pedagogiche17/#programma,,1
/all9-ttmi17/#prova,,1
/all9-ttmi17/#posti,,1
/all9-ttmi17/#programma,,1
/offertaformativa/strutt_perc/img_longdesc/,Descrizione lunga dello schema della riforma,2191
/postlaurea/specializzazione/,,1
